id_diagnotisco;codigo;descripcion;id_tipo_origen;aplica_sexo
294;A690;ESTOMATITIS ULCERATIVA NECROTIZANTE;4;A
295;A691;OTRAS INFECCIONES DE VICENT;4;A
296;A692;ENFERMEDAD DE LYME;4;A
297;A698;OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS;4;A
298;A699;INFECCION POR ESPIROQUETA, NO ESPECIFICADA;4;A
299;A70;INFECCION DEBIDA A CHLAMYDIA PSITTACI;4;A
300;A710;ESTADO INICIAL DE TRACOMA;4;A
301;A711;ESTADO ACTIVO DE TRACOMA;4;A
302;A719;TRACOMA, NO ESPECIFICADO;4;A
303;A740;CONJUNTIVITIS POR CLAMIDIAS (H13.1*);4;A
304;A748;OTRAS ENFERMEDADES POR CLAMIDIAS;4;A
305;A749;INFECCION POR CLAMIDIAS, NO ESPECIFICADA;4;A
306;A750;TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS;4;A
307;A751;TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL];4;A
308;A752;TIFUS DEBIDO A RICKETTSIA TYPHI;4;A
309;A753;TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI;4;A
310;A759;TIFUS, NO ESPECIFICADO;4;A
311;A770;FIEBRE MACULOSA DEBIDO A RICKETTSIA RICKETTSII;4;A
312;A771;FIEBRE MACULOSA DEBIDO A RICKETTSIA CONORII;4;A
313;A772;FIEBRE MACULOSA DEBIDO A RICKETTSIA SIBERICA;4;A
314;A773;FIEBRE MACULOSA DEBIDO A RICKETTSIA AUSTRALIS;4;A
315;A778;OTRAS FIEBRES MACULOSAS;4;A
316;A779;FIEBRE MACULOSA, NO ESPECIFICADA;4;A
317;A78;FIEBRE Q;4;A
318;A790;FIEBRE DE LAS TRINCHERAS;4;A
319;A791;RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI;4;A
320;A798;OTRAS RICKETTSIOSIS ESPECIFICADAS;4;A
321;A799;RICKETTSIOSIS, NO ESPECIFICADA;4;A
322;A800;POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA;4;A
323;A801;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO;4;A
324;A802;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO;4;A
325;A803;OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y NO LAS ESPECIFICADAS;4;A
326;A804;POLIOMIELITIS AGUDA NO PARALITICA;4;A
327;A809;POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACIÓN;4;A
328;A810;ENFERMEDAD DE CREUTZFELDT-JAKOB;4;A
329;A811;PANENCEFALITIS ESCLEROSANTE SUBAGUDA;4;A
330;A812;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA;4;A
331;A818;OTRAS INFECCIONES DEL SISTEMA NERVIOSO POR VIRUS ATIPICO;4;A
332;A819;INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO, SIN OTRA ESPECIFICACION;4;A
333;A820;RABIA SELVATICA;4;A
334;A821;RABIA URBANA;4;A
335;A829;RABIA, SIN OTRA ESPECIFICACION;4;A
336;A830;ENCEFALITIS JAPONESA;4;A
337;A831;ENCEFALITIS EQUINA DEL OESTE;4;A
338;A832;ENCEFALITIS EQUINA DEL ESTE;4;A
339;A833;ENCEFALITIS DE SAN LUIS;4;A
340;A834;ENCEFALITIS AUSTRALIANA;4;A
341;A835;ENCEFALITIS DE CALIFORNIA;4;A
342;A836;ENFERMEDAD POR VIRUS ROCIO;4;A
343;A838;OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS;4;A
344;A839;ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS, SIN OTRA ESPECIFICACION;4;A
345;A840;ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL RUSA];4;A
346;A841;ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS;4;A
