id;id_tarifario;codigo_cups;codigo_diagnostico
649;1;750101;O075
650;1;750101;O076
651;1;750101;O077
652;1;750101;O078
653;1;750101;O079
654;1;750101;O080
655;1;750101;O081
656;1;750101;O082
657;1;750101;O083
658;1;750101;O084
659;1;750101;O085
660;1;750101;O086
661;1;750101;O087
662;1;750101;O088
663;1;750101;O089
664;1;750101;O200
665;1;750101;O311
666;1;660203;O008
667;1;660203;O009
668;1;660203;O080
669;1;660203;O081
670;1;660203;O082
671;1;660203;O083
672;1;660203;O084
673;1;660203;O085
674;1;660203;O086
675;1;660203;O087
676;1;660203;O088
677;1;660203;O089
678;1;660203;O991
679;1;778101;B213
680;1;778101;B217
681;1;778101;B218
682;1;778101;B219
683;1;778101;C000
684;1;778101;C001
685;1;778101;C002
686;1;778101;C003
687;1;778101;C004
688;1;778101;C005
689;1;778101;C006
690;1;778101;C009
691;1;778101;C01
692;1;778101;C020
693;1;778101;C021
694;1;778101;C022
695;1;778101;C023
696;1;778101;C024
697;1;778101;C029
698;1;778101;C030
699;1;778101;C031
700;1;778101;C039
701;1;778101;C040
702;1;778101;C041
703;1;778101;C049
704;1;778101;C050
705;1;778101;C051
706;1;778101;C052
707;1;778101;C059
708;1;778101;C060
709;1;778101;C061
710;1;778101;C062
711;1;778101;C069
712;1;778101;C07
713;1;778101;C080
714;1;778101;C081
715;1;778101;C089
716;1;778101;C090
717;1;778101;C091
718;1;778101;C099
719;1;778101;C100
720;1;778101;C101
721;1;778101;C102
722;1;778101;C103
723;1;778101;C104
724;1;778101;C109
725;1;778101;C110
726;1;778101;C111
727;1;778101;C112
728;1;778101;C113
729;1;778101;C119
730;1;778101;C12
731;1;778101;C130
732;1;778101;C131
733;1;778101;C132
734;1;778101;C139
735;1;778101;C140
736;1;778101;C142
737;1;778101;C150
738;1;778101;C151
739;1;778101;C152
740;1;778101;C153
741;1;778101;C154
742;1;778101;C155
743;1;778101;C159
744;1;778101;C160
745;1;778101;C161
746;1;778101;C162
747;1;778101;C163
748;1;778101;C164
749;1;778101;C165
750;1;778101;C166
751;1;778101;C169
752;1;778101;C170
753;1;778101;C171
754;1;778101;C172
755;1;778101;C173
756;1;778101;C178
757;1;778101;C179
758;1;778101;C180
759;1;778101;C181
760;1;778101;C182
761;1;778101;C183
762;1;778101;C184
763;1;778101;C185
764;1;778101;C186
765;1;778101;C187
766;1;778101;C189
767;1;778101;C19
768;1;778101;C20
769;1;778101;C210
770;1;778101;C211
771;1;778101;C212
772;1;778101;C229
773;1;778101;C23
774;1;778101;C240
775;1;778101;C241
776;1;778101;C249
777;1;778101;C250
778;1;778101;C251
779;1;778101;C252
780;1;778101;C253
781;1;778101;C254
782;1;778101;C257
783;1;778101;C259
784;1;778101;C260
785;1;778101;C261
786;1;778101;C269
787;1;778101;C300
788;1;778101;C301
789;1;778101;C310
790;1;778101;C311
791;1;778101;C312
792;1;778101;C313
793;1;778101;C319
794;1;778101;C320
795;1;778101;C321
796;1;778101;C322
