pk_id_diagnostisco;pk_codido_diagnostico;descripcion_diagnostico;fk_id_tipo_origen;aplica_sexo
216;A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS;4;Ambos
217;A490;INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACI?N;4;Ambos
218;A491;INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION;4;Ambos
219;A492;INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION;4;Ambos
220;A493;INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION;4;Ambos
221;A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO;4;Ambos
222;A499;INFECCION BACTERIANA, NO ESPECIFICADA;4;Ambos
223;A500;SIFILIS CONGENITA PRECOZ, SINTOMATICA;4;Ambos
224;A501;SIFILIS CONGENITA PRECOZ, LATENTE;4;Ambos
225;A502;SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACI?N;4;Ambos
226;A503;OCULOPATIA SIFILITICA CONGENITA TARDIA;4;Ambos
227;A504;NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL];4;Ambos
228;A505;OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA;4;Ambos
229;A506;SIFILIS CONGENITA TARDIA, LATENTE;4;Ambos
230;A507;SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION;4;Ambos
231;A509;SIFILIS CONGENITA, SIN OTRA ESPECIFICACI?N;4;Ambos
232;A510;SIFILIS GENITAL PRIMARIA;4;Ambos
233;A511;SIFILIS PRIMARIA ANAL;4;Ambos
234;A512;SIFILIS PRIMARIA EN OTROS SITIOS;4;Ambos
235;A513;SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS;4;Ambos
236;A514;OTRAS SIFILIS SECUNDARIAS;4;Ambos
237;A515;SIFILIS PRECOZ, LATENTE;4;Ambos
238;A519;SIFILIS PRECOZ, SIN OTRA ESPECIFICACI?N;4;Ambos
239;A520;SIFILIS CARDIOVASCULAR;4;Ambos
240;A521;NEUROSIFILIS SINTOMATICA;4;Ambos
